Property URL,Title,Type,Price,Address,Description,Property Size,Land Area,Bedrooms,Bathrooms,Garages,Property Type,Property Status,Floor,Furnished
https://www.realethio.com/property/paster-enkulala-fabrica-3-bedrooms-house-for-sale-addis-ababa/,"Paster Enkulala Fabrica, 3 bedrooms House for Sale, Addis Ababa.",For Sale,"50,000,000ETB","Commercial Bank Of Ethiopia (Enkulal Fabrica Branch), Swaziland Av., Enqulal Faberika, Arada, Addis Ababa, 9837, Ethiopia","Paster Enkulala Fabrica, 3 bedrooms House for Sale, Addis Ababa.
The houses has 535 square meters in area.
The main house has living and dining room, three bedrooms, one kitchen, one bathroom, the service quarter has five rooms and more, parking for 8 cars.
The price is 50 million birr and negotiable.",535 m²,535 m²,3,1,8,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/gerji-kadisco-house-for-sale-addis-ababa/,"Gerji Kadisco, house for sale, Addis Ababa.",For Sale,"16,000,000ETB","Kadisco General Hospital, Road to Gergi Giorgis, Gerji, Bole, Addis Ababa, 2310, Ethiopia","Gerji Kadisco, house for sale, Addis Ababa.
Total legal size 133 meter square and additional 151 meter square fenced, so total will be 284 meter square in total.
The house has 3 rooms.
The price is 16 million Birr and Fixed.",133 m²,133 m²,3,1,2,House for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/lem-hotel-shola-g1-three-bedrooms-house-for-sale-addis-ababa/,"Lem Hotel Shola, G+1 Three bedrooms House for Sale, Addis Ababa.",For Sale,"85,000,000ETB","Lem Hotel, Equatorial Guinea Street, Megenagna, Yeka, Addis Ababa, 1110, Ethiopia","Lem Hotel Shola, G+1 Three bedrooms House for Sale, Addis Ababa.
The house is located on main road and it is 334 square meters in area.
The house has living and dining room, three bedrooms, two and a half  bathrooms and kitchen. the service quarter has three bedrooms, kitchen and two bathrooms.
The 334 square meter area is in two property deeds and the location is suitable for real estate development.
The price is 85 million birr and negotiable.",334 m²,334 m²,3,2,,House for sale,For Sale,2,no
https://www.realethio.com/property/ayat-gift-real-estate-2-bedrooms-apartment-for-sale-addis-ababa/,"Ayat Gift Real Estate, 2 bedrooms Apartment for Sale, Addis Ababa.",For Sale,"8,400,000ETB","Ayat zone 5, Bole, አዲስ አበባ / Addis Ababa, አዲስ አበባ, ኢትዮጵያ","Ayat Gift Real Estate, 2 bedrooms Apartment for Sale, Addis Ababa.
The apartment is 87 meter square and it is located on the 1st floor.
It has living and dinning room with balcony, closed kitchen, two bedroom  with common shower room, maids room and garage for one car.
The building has generator.
The price is 8.4 million birr and negotiable.
Contact Person: +251921810354 Haileyesus",87 m²,87 m²,2,1,1,Apartment for sale,For Sale,1,no
https://www.realethio.com/property/sarbet-two-bedroom-apartment-for-sale-addis-ababa/,"Sarbet, Two Bedroom Apartment for Sale, Addis Ababa.",For Sale,"29,300,000ETB","AU Conference Center, Ras Lulseged Street, በግ ተራ, Kirkos, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 9752, ኢትዮጵያ","Sarbet, Two Bedroom Apartment for Sale, Addis Ababa.
The apartment is located in safe residential building.
It has an area of 166 square meters.
It has living and dining area with balcony, open kitchen, master bedroom with it’s own bathroom and balcony, another bedroom with common bathroom and  maids room with toilet and bath.
The apartment has elevator, generator and parking for one car.
The price is 29.3 million birr and negotiable.
Note: There is another apartment on the same site that is 156 square meters in area and has a price of 27.5 million birr. And another apartment that is 209 square meters and has a price of 37 million birr.",166 m²,166 m²,2,2,1,Apartment for sale,For Sale,16,no
https://www.realethio.com/property/sarbet-three-bedroom-apartment-for-sale-addis-ababa/,"Sarbet, Three Bedroom Apartment for Sale, Addis Ababa.",For Sale,"43,600,000ETB","AU Conference Center, Ras Lulseged Street, በግ ተራ, Kirkos, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 9752, ኢትዮጵያ","Sarbet, Three Bedroom Apartment for Sale, Addis Ababa.
The apartment is located in safe residential building, and it is on the 16th floor.
It has an area of 247 square meters.
It has living and dining area with balcony and guest toilet, open kitchen with store room, master bedroom with it’s own bathroom, walk in closet and balcony, two bedrooms with common bathroom, maids room and  laundry room with toilet and bath.
The apartment has elevator, generator and parking for one car.
The price is 43.6 million birr and negotiable.
Note: There is another apartment on the same site that is 275 square meters in area and has a price of 48.6 million birr.",247 m²,247 m²,3,2,1,Apartment for sale,For Sale,16,no
https://www.realethio.com/property/sarbet-vatican-three-bedroom-apartment-for-sale-addis-ababa/,"Sarbet Vatican, Three Bedroom Apartment for Sale, Addis Ababa.",For Sale,"30,610,842ETB","Sarbet, Nefas Silk, Addis Ababa, 7777, Ethiopia","Sarbet Vatican, Three Bedroom Apartment for Sale, Addis Ababa.
The apartment is located in safe residential building.
It has an area of 210 square meters.
It has living and dining area with balcony, open kitchen, closed kitchen, store, master bedroom with it’s own bathroom, walk in closet and balcony, two bedrooms with common bathroom and  maids room with toilet and bath.
The apartment has elevator, generator and parking for one car.
The first payment is 15%, but one can pay more for discount.
The price is 30,610,842 birr and negotiable.
Note: There is another apartment on the same site that is 208 square meters in area and has a price of 30,341,316 birr. Second apartment that is 203 square meters and has a price of 29,620,153 birr. And third apartment that is 200 square meters and has a price of 29,183,084 birr.",210 m²,210 m²,3,2,1,Apartment for sale,For Sale,5,no
https://www.realethio.com/property/gurdshola-land-for-sale-addis-ababa/,"Gurdshola, Land for Sale, Addis Ababa.",For Sale,"35,000,000ETB","Ararat to Kara, ኮተቤ, Yeka, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 5648, ኢትዮጵያ","Gurdshola, Land for Sale, Addis Ababa.
The land has a total area of 155 square meters.
The house has foundation made for ground plus two house.
The price is 35 million birr and negotiable.",155 m²,155 m²,,,,Land for sale,For Sale,Ground Floor,no
https://www.realethio.com/property/gurdshola-g2-four-bedroom-house-for-sale-addis-ababa/,"Gurdshola, G+2 Four bedroom House for Sale, Addis Ababa.",For Sale,"70,000,000ETB","Ararat to Kara, ኮተቤ, Yeka, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 5648, ኢትዮጵያ","Gurdshola, G+2  Four bedroom House for Sale, Addis Ababa.
The house has an area of 155 square meters.
The ground floor has living and dining room with open kitchen and guest toilet.
The first floor has master bedroom with walk-in closet, balcony and bathroom and one bedroom with it’s own shower room.
Second floor has family room with balcony, side bar or kitchen corner, two bedrooms with their won shower room.
The compound has parking for 1 car.
The price is 70 million Birr and negotiable.",155 m²,155 m²,4,4,1,House for sale,For Sale,3,no
https://www.realethio.com/property/gotera-wengelawit-2-bedrooms-apartment-for-rent-addis-ababa/,"Gotera Wengelawit, 2 bedrooms Apartment for Rent, Addis Ababa.",For Sale,"16,000,000ETB","ጎተራ, Kirkos, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 2506, ኢትዮጵያ","Gotera Wengelawit, 2 bedrooms Apartment for Rent, Addis Ababa.
The apartment is located on safe residential building, and it is on the 10th floor.
It has living and dinning room with open kitchen, master bedroom with it’s own shower room, and another bedroom with common shower room.
It comes with generator, elevator, common terrace and parking for one car.
The rate is 16 million birr and negotiable.",86 m²,86 m²,2,2,1,Apartment for sale,For Sale,10,no
